country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ISR,Israel,Alon Tavor,WRI1008363,365.0,32.6339,35.3676,Gas,,,,,Israel Electric corporation,Israel Electric Corporation,https://www.iec.co.il/international/main.html#!/contents/67,GEODB,,,,,,,,,,,,,,,2320.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Ashalim PV,WKS0071507,30.0,30.9530,34.6530,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,62.16,60.82,60.94,62.26,61.72,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Ashalim Sun,WRI1061479,121.0,30.9634,34.7275,Solar,,,,2018.0,Bright Source Energy,General Electric,https://www.ge.com/content/dam/gepower-renewables/global/en_US/downloads/brochures/solar-csp-ashalim-gea32278.pdf,WRI,,,,,,,,,,,,,,,214.16,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Ashgod Energy,WRI1061485,55.0,31.1472,34.7876,Gas,,,,2015.0,Edeltech,Edeltech,http://ges.co.il/project/ashdod-energy-55-mw-power-station/,WRI,1066855,,,,,,,,,,,,,,349.62,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Atarot,WRI1008374,70.0,31.7820,35.2196,Gas,,,,1997.0,Israel Electric corporation,Israel Electric Corporation,https://web.archive.org/web/20131204111256/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=GasTurbines&ibpZone=GasTurbines&,CARMA,1019849,,,,,,,,,,,,,,444.98,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Bror Hayil Solar Power Plant,WRI1026453,8.7,31.5557,34.6545,Solar,,,,2013.0,Belectric GmbH,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,WRI,,,,,,,,,,,,20.14,20.17,19.60,19.89,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1
ISR,Israel,Caesarea - Best Carton Solar Power Plant,WRI1026454,1.5,32.4723,34.9453,Solar,,,,2013.0,Energix Renewable Energies Limited,Energix,http://www.energix-group.com/Best-Carton/,WRI,1101290,,,,,,,,,,,2.85,2.96,2.88,2.63,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1
ISR,Israel,Dead Sea Works,WRI1061481,250.0,31.0303,35.3644,Gas,,,,2015.0,Dead Sea Works,TMNG,http://tmng.co.il/?project=dead-sea-works-power-plant,WRI,1013579,,,,,,,,,,,,,,1589.21,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Dorad,WRI1008371,840.0,31.6358,34.5309,Gas,,,,2014.0,Dorad Energy Limited,Dorad Energy Limited,https://www.dorad.co.il/about/,WRI,1058111,,,,,,,,,,,,,,5339.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Ein Evrona Solar Power Plant,WRI1026455,6.0,29.6240,34.9821,Solar,,,,2014.0,Solaer,Solaer,https://www.google.com/maps/d/embed?mid=1bXiXRcLRnBCUfpkHM2J5EVryhG4&ll=31.06035315253383%2C35.02284616406246&z=8,WRI,,,,,,,,,,,,,13.08,12.93,12.86,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
ISR,Israel,Ein HaShlosha,WKS0061903,5.0,31.3225,34.5589,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.05,11.15,10.19,11.20,10.84,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Eliat,WRI1008373,35.0,29.5611,34.9517,Gas,,,,1996.0,Israel Electric corporation,Israel Electric Corporation,https://web.archive.org/web/20131204111256/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=GasTurbines&ibpZone=GasTurbines&,CARMA,,,,,,,,,,,,,,,222.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Eliphaz ,WKS0061888,7.0,29.7920,35.0320,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,14.47,13.10,13.66,12.94,13.43,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Eshkol,WRI1008360,1432.0,31.8388,34.6551,Gas,Oil,,,,Israel Electric corporation,Israel Electric Corporation,https://www.iec.co.il/en/ir/documents/stat2010.pdf,WRI,1019853,,,,,,,,,,,,,,9103.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Gevulot Solar Power Plant,WRI1026456,8.5,31.2050,34.4616,Solar,,,,2014.0,Belectric GmbH,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,WRI,,,,,,,,,,,,,16.97,16.97,16.65,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
ISR,Israel,Gezer,WRI1008366,744.0,31.9153,34.9188,Gas,,,,2007.0,Israel Electric corporation,Israel Electric Corporation,https://web.archive.org/web/20131204103746/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=Gezer&ibpZone=Gezer&,GEODB,1019855,,,,,,,,,,,,,,4729.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Grofit ,WKS0061889,6.3,29.9358,35.0667,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.70,11.92,12.32,12.20,12.18,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Hagit,WRI1008370,1255.0,32.6172,35.0431,Gas,,,,,Israel Electric corporation,Israel Electric Corporation,https://web.archive.org/web/20131204103107/http:/www.israel-electric.co.il/bin/ibp.jsp?ibpDispWhat=zone&ibpDisplay=view&ibpPage=ENGProjects&ibpDispWho=Hagit&ibpZone=Hagit&,GEODB,1019856,,,,,,,,,,,,,,7977.87,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
